ID,link,text,user,likes,comments,retweets,external-link,quotes
248,https://twitter.com/MrBeast/status/1533945373173202947#m,I tried to run this as a national tv commercial but apparently it’s “non compliant” lol,MrBeast,101506,2246,2982,,194
249,https://twitter.com/MrBeast/status/1533807586331734016#m,"This video took months to make and obviously millions of dollars, I’m so glad it’s doing well 😂❤️",MrBeast,158296,2285,3832,,385
250,https://twitter.com/MrBeast/status/1533176805749837826#m,We recreated Willy Wonka’s chocolate factory in real life and flew down 10 people that found golden tickets in our chocolate bars to compete for it! GO WATCH :),MrBeast,98937,1902,2686,,271
251,https://twitter.com/MrBeast/status/1531021138716917763#m,"In our recreation of Willy Wonka’s chocolate factory we have Gordon Ramsay, a chocolate waterfall/river, and a custom built warehouse full of candy challenges to decide who wins it. Can’t wait for you to see this video 😊",MrBeast,236268,2830,6691,,677
252,https://twitter.com/MrBeast/status/1528026307371466754#m,We went to Africa and built some wells and it’s of my favorite videos we’ve made 🥰  https://tube.mint.lgbt/aSQUg-h8G4s,MrBeast,57408,1931,2107,,197
253,https://twitter.com/MrBeast/status/1527801820424204288#m,This is how random people in Walmart have addressed me each year  2019 - You’re that tree planting guy 2020 - You’re that money guy 2021 - You buried yourself alive! 2022 - I liked your Squid Game,MrBeast,129744,2278,2877,,141
254,https://twitter.com/MrBeast/status/1526948346275024898#m,Without a doubt in my mind the next multi billion dollar company will be a toliet that tells you how much your poop weighs,MrBeast,108923,3450,2329,,285
255,https://twitter.com/MrBeast/status/1524090020197449730#m,A major music label should stop copyright striking YouTubers every opportunity it gets and instead let us use their music and then we YouTubers all rally and get them 10s of billions of impressions on their music for not being cunts to us. Thoughts? 😂,MrBeast,218537,4477,6207,,860
256,https://twitter.com/MrBeast/status/1524071468451119104#m,"This tweet popped off, here’s the analytics if you’re curious",MrBeast,47065,1231,794,,62
257,https://twitter.com/MrBeast/status/1523808360696451072#m,Wouldn’t be Willy Wonka’s chocolate factory without a chocolate waterfall 🤪,MrBeast,121669,3566,2775,,1019
258,https://twitter.com/MrBeast/status/1523087819513937920#m,"So plz excuse the lack of videos, my giga brain thought it’d be a good idea to do 2 squid game level videos at the same time 💀",MrBeast,52631,564,571,,25
259,https://twitter.com/MrBeast/status/1523087353245446144#m,"And while building this we also have to terraform an island. I’m giving away an island for 100 mil but nice looking big islands cost 20 mil $ so I bought an ugly big island and we’ve been importing sand, hundreds of trees, building a lake, etc. to make it not ugly lol",MrBeast,56939,679,691,,143
260,https://twitter.com/MrBeast/status/1523084185736417281#m,We’re in the early stages of recreating Willy Wonka’s chocolate factory (this photo is like 10% of it) why didn’t someone tell me this would be so hard 😂,MrBeast,245235,4572,6145,,1034
261,https://twitter.com/MrBeast/status/1522923616433811457#m,"Here’s how many YT views I’ve gotten every year of my life. Another successful year 🥳  23 - 13,265,311,414 22 - 8,184,185,544 21 - 3,324,451,660 20 - 2,099,879,911 19 - 464,282,517 18 - 122,441,813 17 - 5,482,596 16 - 202,000 15 - 125,634 14 - 41,148 13 - 7,000 12 - 15,000",MrBeast,90480,1803,2179,,306
262,https://twitter.com/MrBeast/status/1522921135473537024#m,Happy birthday MrBeast,MrBeast,405918,19339,11849,,1196
263,https://twitter.com/MrBeast/status/1521552979534376961#m,I never used any of the high level math I was taught in High School lol,MrBeast,180163,4467,5237,,702
264,https://twitter.com/MrBeast/status/1519333780540080128#m,"We assessed the damage after shipping out the chocolate and we gave $1,300,000 of chocolate away for free lol  I guess 10 minutes is longer then I thought 😅",MrBeast,70620,2398,1557,,170
265,https://twitter.com/MrBeast/status/1517916632043114498#m,I love how the creators that helped us make squid game all got viral videos out of it 🥰,MrBeast,107635,1330,1875,,96
266,https://twitter.com/MrBeast/status/1516522183975178244#m,The Bad Guys wanted to sponsor a tweet so I asked if I could leak the start of their movie for the ad and they said yes lol  The Bad Guys comes out this Friday! See if you like it :) https://tube.mint.lgbt/aLjplzWDGp8,MrBeast,42395,1084,1290,,134
267,https://twitter.com/MrBeast/status/1516411928993804304#m,"While your favorite influencer was at Coachella, I spent a day completing a giant polar bear puzzle. We are not the same",MrBeast,109947,2019,2172,,157
268,https://twitter.com/MrBeast/status/1515420281082466304#m,We also need people skilled in production so we can pull off videos like Squid Game more frequently! Apply here if you’re interested https://www.mrbeastjobs.com/#jobs,MrBeast,23327,721,486,,40
269,https://twitter.com/MrBeast/status/1515406962112053257#m,"I’m looking to hire a super creative, YouTube nerd, that wants to learn what makes videos go viral and help me brainstorm and execute content! If you’re interested just reply to this tweet with your experience and why you’re different.",MrBeast,159701,17802,3565,,560
270,https://twitter.com/MrBeast/status/1515001949493600261#m,"The flash sale is over, I’m scared to see how much money we just lost 😂",MrBeast,32103,1551,360,,41
271,https://twitter.com/MrBeast/status/1514999284143435778#m,For the next 10 minutes use coupon code “FREE” and get 100% off our Feastables chocolate and free shipping :)  I’ll lose a bunch of $ with each order but I want to give some of you that couldn’t afford our chocolate a chance to get some ❤️❤️❤️  https://feastables.com,MrBeast,64680,6332,1538,,507
272,https://twitter.com/MrBeast/status/1513614975633395720#m,I now own the phone number 69-420 lol,MrBeast,180525,4098,2848,,246
273,https://twitter.com/MrBeast/status/1513174737035284484#m,Thx gamers for the kids choice award ❤️,MrBeast,202569,2094,5243,,260
274,https://twitter.com/MrBeast/status/1512884079464640515#m,Go watch the new video to see how many weeks someone did last 😂,MrBeast,45346,1243,541,,34
275,https://twitter.com/MrBeast/status/1512883659736461312#m,"If I gave you $10,000 everyday you lived in this room, how long do you think you’d stay?",MrBeast,212983,45526,5336,,5026
276,https://twitter.com/MrBeast/status/1510269374321643529#m,"No new video today, we got age restricted because we were playing with fireworks lol. Gonna re-edit it and upload next week ❤️",MrBeast,104510,1580,1397,,97
277,https://twitter.com/MrBeast/status/1509880489779286021#m,What should we cut with this working lightsaber? Lol,MrBeast,177752,7538,2910,,537
278,https://twitter.com/MrBeast/status/1505276848971808771#m,"Would you swim with Sharks for $100,000? Go watch the new video to see what people did :)",MrBeast,86952,4106,1697,,253
279,https://twitter.com/MrBeast/status/1503129407195656196#m,I was chilling at a red light and the guy in the car in front of me gets out of his car and dead sprints to mine to ask for a picture.. I thought I was getting robbed 💀,MrBeast,227013,2976,4676,,234
280,https://twitter.com/MrBeast/status/1501970605645651972#m,Also give me a few months and I’m going to drop what will probably be our best video ever. I have an idea that is bigger then our squid game video and so interesting/insane that I doubt it will ever be topped (Assuming we can pull it off haha),MrBeast,51102,1073,851,,99
281,https://twitter.com/MrBeast/status/1501967895936516102#m,We have two ginormous videos coming out this month :),MrBeast,90674,1981,1695,,159
282,https://twitter.com/MrBeast/status/1497982765236731906#m,Is it illegal to break into your friend’s house to play with their dog?,MrBeast,174031,7539,3519,,443
283,https://twitter.com/MrBeast/status/1496267281260756994#m,I started counseling a small YouTuber for fun and here is a monthly before and after of their channel lol,MrBeast,191271,7277,3933,,1661
284,https://twitter.com/MrBeast/status/1495847963654037504#m,Conveniently we have 5 diamond play buttons and I only have 4 friends,MrBeast,230136,4217,5664,,577
285,https://twitter.com/MrBeast/status/1495147167681548290#m,I’ve been doing YouTube for more than 10 years but i deleted my old channel when I was 13 because I got embarrassed when a friend found it lol,MrBeast,52728,749,772,,39
286,https://twitter.com/MrBeast/status/1495146188617752578#m,"Today is the 10 year anniversary of the channel, give me likes",MrBeast,248991,3643,6265,,348
287,https://twitter.com/MrBeast/status/1493621379056508932#m,"If you work in online video production or run a production company I need help with a big coming up video!  Reply to this tweet with your experience, I have someone looking thru replies ❤️",MrBeast,90814,3931,1975,,146
288,https://twitter.com/MrBeast/status/1491035877916942338#m,"WE’RE SO CLOSE TO 100 MIL!!!!!!  Looks like I need to get a private island and start building the sets for the 100,000,000 subscriber special 😂",MrBeast,226598,6157,8505,,824
289,https://twitter.com/MrBeast/status/1489218735625887744#m,"Would you rather have $10,000,000 or 10,000,000 subscribers on YouTube?",MrBeast,237727,40365,5385,,4755
290,https://twitter.com/MrBeast/status/1488594062936477696#m,I swear to god I just walked past two random guys casually debating how much money MrBeast makes and they didn’t notice me 💀,MrBeast,265961,4913,5556,,422
291,https://twitter.com/MrBeast/status/1487667552516030464#m,Which btw if you win the chocolate factory and don’t want it (which I bet most people won’t haha) I’ll just buy it off you for like half a mil ❤️,MrBeast,37362,1241,671,,80
292,https://twitter.com/MrBeast/status/1487531928655855616#m,"I just launched a chocolate bar in three flavors (original, crunch, and almond) and 10 random bars contain a mystery ticket in them! The 10 receivers of the mystery tickets will be flown down to compete for a chocolate factory in a video GO TRY IT :))))  https://feastables.com",MrBeast,156020,5795,6394,,2183
293,https://twitter.com/MrBeast/status/1486212137450196993#m,There was a spider on my bed and now I’ve lost all desire to ever sleep again,MrBeast,192010,5233,3407,,368
294,https://twitter.com/MrBeast/status/1483115555049590788#m,"Sorry for no videos, covid hit me pretty hard and even after 2 weeks and a negative test I was still tired all day 😢  I’m finally starting to feel more energetic now, time to start grinding again :)",MrBeast,182698,5686,3875,,346
