ID,link,text,user,likes,comments,retweets,external-link,quotes
390,https://twitter.com/cb_doge/status/1749950785520099411#m,"Create on 𝕏!  If you're a Blogger, 𝕏 is the place to be.  If you're a Podcaster, 𝕏 is the place to be.  If you're a Journalist, 𝕏 is the place to be.  If you're a Writer, 𝕏 is the place to be.  If you're a Memer, 𝕏 is the place to be.  If you're an Influencer, 𝕏 is the place to be.  If you're a Photographer, 𝕏 is the place to be.  If you're an Artist, 𝕏 is the place to be.  If you're a Shitposter, 𝕏 is the place to be.  If you're a Gamer, 𝕏 is the place to be.  If you're a Video Creator, 𝕏 is the place to be.  𝕏 is the place to be when it comes to being a creator. You can make a living off it. The goal of 𝕏 is to maximize creator prosperity.",DogeDesigner,9694,2167,1710,,197
391,https://twitter.com/elonmusk/status/1749949420815405140#m,,Elon Musk,211400,16217,47039,,2792
392,https://twitter.com/cybertruck/status/1749508348935069908#m,"Cybertruck has 120V & 240V outlets on-board, plus a bi-directional charge port  Power your house, another EV, power tools or even a party off the grid",Cybertruck,19300,3313,2969,,430
393,https://twitter.com/elonmusk/status/1749617078590464322#m,Very concerning,Elon Musk,143813,12457,45002,,1492
394,https://twitter.com/elonmusk/status/1749481902782722168#m,Very important,Elon Musk,174523,13946,26242,,1045
395,https://twitter.com/stillgray/status/1749419236676751399#m,Elon Musk and Ben Shapiro are touring Auschwitz in Poland.,Ian Miles Cheong,72406,8397,6397,,1059
396,https://twitter.com/elonmusk/status/1749421844636058061#m,Important,Elon Musk,54218,7431,7415,,347
397,https://twitter.com/elonmusk/status/1749220961050652863#m,𝕏 is where news happens first,Elon Musk,99489,9290,11488,,801
398,https://twitter.com/Safety/status/1749147578674159854#m,"Today, a bug in our system caused X to incorrectly label numerous posts as Sensitive Media. We’ve fixed the underlying issue and are now working to remove labels from impacted posts.",Safety,19329,3056,4565,,1071
399,https://twitter.com/elonmusk/status/1749150144392532007#m,An 𝕏 spam/scam bot accidentally flagged many legitimate accounts today. This is being fixed.,Elon Musk,144772,15346,18358,,2701
400,https://twitter.com/TheRabbitHole84/status/1749119284524232774#m,Uncomfortable Truths > Noble Lies,The Rabbit Hole,20792,1178,3525,,194
401,https://twitter.com/elonmusk/status/1748805197629923619#m,Heavy use of Spaces,Elon Musk,52043,6619,6823,,443
402,https://twitter.com/Space_Station/status/1748695881816392095#m,The @SpaceX Dragon's hatch opened at 7:13am ET today and four #Ax3 astronauts from @Axiom_Space entered the space station meeting the Expedition 70 crew. More... https://go.nasa.gov/3vKRAoU,International Space Station,20454,1558,3130,,265
403,https://twitter.com/SpaceX/status/1748428323548758414#m,Nine Merlin engines generating more than 1.7 million pounds of thrust at liftoff,SpaceX,22229,1416,2825,,179
404,https://twitter.com/Space_Station/status/1748660723268354171#m,#Ax3 docked to the space station aboard the @SpaceX Dragon Freedom spacecraft at 5:42am ET today beginning a two-week research and education mission. https://blogs.nasa.gov/spacestation/2024/01/20/ax-3-docks-to-station-aboard-dragon-spacecraft/,International Space Station,11941,798,1646,,78
405,https://twitter.com/SpaceX/status/1748658663349444698#m,Dragon docked with the @space_station,SpaceX,27010,1538,2981,,218
406,https://twitter.com/elonmusk/status/1748598958253875709#m,"If you post interesting art, either written or visual, add it to the highlights section of your profile",Elon Musk,107923,10019,11590,,921
407,https://twitter.com/elonmusk/status/1748595664131363231#m,Don’t forget to add your best content to the Highlights section of your profile,Elon Musk,62065,6456,6094,,485
408,https://twitter.com/elonmusk/status/1748595386762039658#m,Post your music videos to 𝕏,Elon Musk,55147,7293,7911,,569
